question_id,question_title,answer,answer.1,answer.2,answer.3,region,topic,difficulty
182,Who appoints the Chief Justice of India?,The President,The Prime Minister,The Parliament,The Law Minister,India,Civics;,Medium
183,Which Article of the Indian Constitution deals with the Right to Equality?,Article 14,Article 21,Article 19,Article 32,India,Civics;,Medium
184,What is the term length for a member of the Rajya Sabha?,6 years,5 years,4 years,2 years,India,Civics;,Medium
185,Which constitutional body is responsible for the conduct of elections in India?,Election Commission of India,Supreme Court of India,Parliament,Union Public Service Commission,India,Civics;,Easy
186,What is the minimum age requirement to become a member of the Lok Sabha?,25 years,30 years,35 years,21 years,India,Civics;,Medium
187,Who was the first female Speaker of the Lok Sabha?,Meira Kumar,Sumitra Mahajan,Sarojini Naidu,Indira Gandhi,India,Civics;,Hard
188,What is the primary function of the Judiciary in India?,Interpret and uphold the Constitution,Make laws,Enforce laws,Execute policies,India,Civics;,Medium
189,Who is the head of the executive branch in India?,The President,The Prime Minister,The Chief Justice,The Governor,India,Civics;,Easy
190,Which body is responsible for approving the budget in India?,Parliament,Supreme Court,President,Election Commission,India,Civics;,Medium
191,Which fundamental right is guaranteed under Article 21 of the Indian Constitution?,Right to Life,Right to Freedom,Right to Equality,Right to Education,India,Civics;,Medium
192,How many members can the President nominate to the Rajya Sabha?,12,10,14,8,India,Civics;,Hard
193,Who presides over the joint sitting of the Parliament of India?,The Speaker of the Lok Sabha,The President,The Prime Minister,The Vice-President,India,Civics;,Hard
194,Which body advises the President on the appointment of judges to the Supreme Court?,Collegium,Cabinet,Parliament,Election Commission,India,Civics;,Hard
195,What is the role of the Finance Commission in India?,Recommend financial distribution between the Center and States,Audit government expenditures,Plan economic policies,Conduct monetary policy,India,Civics;,Medium
196,Who is the Supreme Commander of the Armed Forces in India?,The President,The Prime Minister,The Defense Minister,The Chief of Defense Staff,India,Civics;,Medium
197,What is the tenure of the Vice President of India?,5 years,4 years,6 years,7 years,India,Civics;,Easy
198,Which article in the Indian Constitution provides for the imposition of President's rule in a state?,Article 356,Article 352,Article 360,Article 370,India,Civics;,Hard
199,What is the main purpose of the Public Accounts Committee in the Parliament?,Examine government expenditure,Formulate government policies,Draft laws,Handle judiciary matters,India,Civics;,Hard
200,Who is the current Speaker of the House of Representatives (as of 2024)?,Mike Johnson,Kevin McCarthy,Nancy Pelosi,Hakeem Jeffries,USA,Politics;,Medium
201,Which amendment to the U.S. Constitution gives citizens the right to bear arms?,Second Amendment,First Amendment,Third Amendment,Fourth Amendment,USA,Politics;,Easy
202,Who has the power to veto bills passed by Congress?,The President,The Vice President,The Speaker of the House,The Chief Justice,USA,Politics;,Medium
203,Which U.S. state has the most electoral votes in presidential elections?,California,Texas,Florida,New York,USA,Politics;,Hard
204,Who is the current Senate Majority Leader (as of 2024)?,Chuck Schumer,Mitch McConnell,Nancy Pelosi,Kevin McCarthy,USA,Politics;,Medium
205,Who was the first U.S. President to be impeached?,Andrew Johnson,Richard Nixon,Bill Clinton,Donald Trump,USA,Politics;,Hard
206,How many justices are on the U.S. Supreme Court?,Nine,Seven,Eleven,Eight,USA,Politics;,Easy
207,What is the minimum age requirement to be President of the United States?,35 years,30 years,40 years,45 years,USA,Politics;,Medium
208,Which landmark Supreme Court case legalized same-sex marriage in the United States?,Obergefell v. Hodges,Roe v. Wade,Brown v. Board of Education,Plessy v. Ferguson,USA,Politics;,Hard
209,Who is the current Secretary of State (as of 2024)?,Antony Blinken,Mike Pompeo,John Kerry,Hillary Clinton,USA,Politics;,Medium
210,What is the name of the first African American woman to be elected to the U.S. Senate?,Carol Moseley Braun,Kamala Harris,Shirley Chisholm,Condoleezza Rice,USA,Politics;,Hard
211,Which constitutional amendment abolished slavery in the United States?,Thirteenth Amendment,Fourteenth Amendment,Fifteenth Amendment,Twelfth Amendment,USA,Politics;,Medium
212,What is the term length for a U.S. Senator?,Six years,Four years,Two years,Eight years,USA,Politics;,Easy
213,Who appoints the Justices of the Supreme Court?,The President,The Senate,The Chief Justice,The Vice President,USA,Politics;,Medium
214,Which U.S. President served the shortest term?,William Henry Harrison,James Garfield,Zachary Taylor,Warren G. Harding,USA,Politics;,Hard
215,What is the primary role of the Federal Reserve?,Regulate monetary policy,Collect taxes,Enforce federal laws,Conduct elections,USA,Politics;,Medium
216,Which act was signed into law to combat climate change during President Biden's administration?,Inflation Reduction Act,Green New Deal,Paris Agreement,Clean Power Plan,USA,Politics;,Hard
217,Who is the first woman to serve as Vice President of the United States?,Kamala Harris,Hillary Clinton,Sarah Palin,Geraldine Ferraro,USA,Politics;,Medium
218,Which amendment to the U.S. Constitution provides for the direct election of Senators?,Seventeenth Amendment,Sixteenth Amendment,Fifteenth Amendment,Nineteenth Amendment,USA,Politics;,Hard
219,What is the highest court in the United States?,The Supreme Court,The Court of Appeals,The Federal Court,The District Court,USA,Politics;,Easy
220,Who was the first President of the United States?,George Washington,Thomas Jefferson,John Adams,James Madison,USA,History;,Easy
221,Which document declared the American colonies' independence from Britain?,The Declaration of Independence,The Constitution,The Bill of Rights,The Articles of Confederation,USA,History;,Medium
222,"What year did the U.S. stock market crash, leading to the Great Depression?",1929,1933,1919,1941,USA,History;,Hard
223,Who was the President of the Confederate States during the American Civil War?,Jefferson Davis,Abraham Lincoln,Ulysses S. Grant,Robert E. Lee,USA,History;,Medium
224,What was the primary cause of the American Civil War?,Slavery,Economic differences,State rights,Territorial expansion,USA,History;,Easy
225,Who was the U.S. President during the Louisiana Purchase?,Thomas Jefferson,James Madison,John Adams,Andrew Jackson,USA,History;,Hard
226,Which U.S. state was the last to join the Union?,Hawaii,Alaska,Arizona,New Mexico,USA,History;,Medium
227,What was the first capital of the United States?,Philadelphia,New York,Boston,"Washington, D.C.",USA,History;,Easy
228,Who was the only U.S. President to resign from office?,Richard Nixon,Bill Clinton,Andrew Johnson,Gerald Ford,USA,History;,Hard
229,Which President issued the Emancipation Proclamation?,Abraham Lincoln,Andrew Johnson,Ulysses S. Grant,James Buchanan,USA,History;,Medium
230,What was the first permanent English colony in America?,Jamestown,Plymouth,Roanoke,Charleston,USA,History;,Hard
231,"Who was the leader of the civil rights movement known for his ""I Have a Dream"" speech?",Martin Luther King Jr.,Malcolm X,Rosa Parks,Thurgood Marshall,USA,History;,Medium
232,Which U.S. President signed the Social Security Act into law?,Franklin D. Roosevelt,Harry S. Truman,Herbert Hoover,Dwight D. Eisenhower,USA,History;,Hard
233,What major event brought the United States into World War II?,The attack on Pearl Harbor,The fall of France,The invasion of Poland,The sinking of the Lusitania,USA,History;,Medium
234,What was the primary goal of the Lewis and Clark Expedition?,Explore and map the western territory,Establish trade with Native Americans,Find a route to the Pacific Ocean,Collect scientific data,USA,History;,Easy
235,Who was the author of the Declaration of Independence?,Thomas Jefferson,Benjamin Franklin,John Adams,James Madison,USA,History;,Medium
236,In which year was the U.S. Constitution ratified?,1788,1776,1783,1791,USA,History;,Hard
237,Who was the first Secretary of the Treasury of the United States?,Alexander Hamilton,Thomas Jefferson,John Jay,James Monroe,USA,History;,Medium
238,What landmark Supreme Court case established judicial review in the United States?,Marbury v. Madison,McCulloch v. Maryland,Gibbons v. Ogden,Dred Scott v. Sandford,USA,History;,Hard
239,Who was the leader of the American Revolutionary Army?,George Washington,Benedict Arnold,Thomas Paine,John Hancock,USA,History;,Easy
240,"Who directed the epic science fiction film ""2001: A Space Odyssey""?",Stanley Kubrick,Ridley Scott,Steven Spielberg,George Lucas,USA,Hollywood,Medium
241,"Which actor played the character Jack Dawson in ""Titanic""?",Leonardo DiCaprio,Brad Pitt,Johnny Depp,Tom Cruise,USA,Hollywood,Easy
242,Which film won the first Academy Award for Best Picture in 1929?,Wings,The Jazz Singer,Sunrise,The Broadway Melody,USA,Hollywood,Hard
243,"Who is known as the ""Master of Suspense"" in Hollywood?",Alfred Hitchcock,Steven Spielberg,Martin Scorsese,Quentin Tarantino,USA,Hollywood,Medium
244,"Which actress won the Academy Award for Best Actress for her role in ""The Iron Lady""?",Meryl Streep,Julia Roberts,Nicole Kidman,Cate Blanchett,USA,Hollywood,Medium
245,Which movie marked the first appearance of the character Indiana Jones?,Raiders of the Lost Ark,Temple of Doom,The Last Crusade,Kingdom of the Crystal Skull,USA,Hollywood,Hard
246,Who played the character of Tony Stark in the Marvel Cinematic Universe?,Robert Downey Jr.,Chris Evans,Mark Ruffalo,Chris Hemsworth,USA,Hollywood,Easy
247,"What is the name of the fictional African nation in ""Black Panther""?",Wakanda,Zamunda,Narnia,Gondor,USA,Hollywood,Medium
248,"Which director is known for the ""Dollars Trilogy"" of Spaghetti Westerns?",Sergio Leone,John Ford,Sam Peckinpah,Clint Eastwood,USA,Hollywood,Hard
249,"Who composed the iconic score for ""Star Wars""?",John Williams,Hans Zimmer,Ennio Morricone,James Horner,USA,Hollywood,Medium
250,"Which actress starred as Ripley in the ""Alien"" film series?",Sigourney Weaver,Linda Hamilton,Jodie Foster,Jamie Lee Curtis,USA,Hollywood,Hard
251,"Which film features the line ""Here's looking at you, kid""?",Casablanca,Gone with the Wind,The Godfather,Citizen Kane,USA,Hollywood,Medium
252,What is the highest-grossing film of all time (as of 2024)?,Avatar,Avengers: Endgame,Titanic,Star Wars: The Force Awakens,USA,Hollywood,Easy
253,"Who played the lead role in the film ""Forrest Gump""?",Tom Hanks,Robin Williams,Kevin Costner,Harrison Ford,USA,Hollywood,Medium
254,"Which director is known for the films ""Pulp Fiction"" and ""Kill Bill""?",Quentin Tarantino,Guy Ritchie,David Fincher,Paul Thomas Anderson,USA,Hollywood,Hard
255,"What was the name of the computer in ""2001: A Space Odyssey""?",HAL 9000,Skynet,JARVIS,GLaDOS,USA,Hollywood,Medium
256,"Who played Neo in the ""Matrix"" film series?",Keanu Reeves,Matt Damon,Johnny Depp,Christian Bale,USA,Hollywood,Easy
257,"Which film is known for the line ""I am big! It's the pictures that got small.""?",Sunset Boulevard,Singin' in the Rain,All About Eve,Rebel Without a Cause,USA,Hollywood,Hard
258,"Which actor voiced Darth Vader in the original ""Star Wars"" trilogy?",James Earl Jones,Peter Cushing,Alec Guinness,David Prowse,USA,Hollywood,Medium
259,"Who directed the film ""Schindler's List""?",Steven Spielberg,Roman Polanski,Francis Ford Coppola,Oliver Stone,USA,Hollywood,Hard
260,What is the capital of the United States?,"Washington, D.C.",New York,Los Angeles,Chicago,USA,Geography;,Easy
261,"Which U.S. state is known as the ""Sunshine State""?",Florida,California,Texas,Arizona,USA,Geography;,Medium
262,What is the largest lake in the United States by surface area?,Lake Superior,Lake Michigan,Lake Huron,Lake Erie,USA,Geography;,Hard
263,Which river is the longest in the United States?,Missouri River,Mississippi River,Colorado River,Ohio River,USA,Geography;,Medium
264,What is the tallest mountain in North America?,Denali,Mount Whitney,Mount Elbert,Mount Rainier,USA,Geography;,Easy
265,In which state is the Grand Canyon located?,Arizona,Utah,Nevada,Colorado,USA,Geography;,Hard
266,Which U.S. state has the longest coastline?,Alaska,California,Florida,Hawaii,USA,Geography;,Medium
267,What is the name of the island that houses the Statue of Liberty?,Liberty Island,Ellis Island,Manhattan Island,Governors Island,USA,Geography;,Easy
268,Which U.S. state is home to the Great Smoky Mountains National Park?,Tennessee,North Carolina,Virginia,Georgia,USA,Geography;,Hard
269,What is the name of the largest desert in the United States?,Great Basin Desert,Mojave Desert,Sonoran Desert,Chihuahuan Desert,USA,Geography;,Medium
270,"Which state is known as the ""Land of 10,000 Lakes""?",Minnesota,Wisconsin,Michigan,Idaho,USA,Geography;,Hard
271,Which U.S. state is the only one composed entirely of islands?,Hawaii,Alaska,Rhode Island,Florida,USA,Geography;,Medium
272,What is the smallest state in the United States by area?,Rhode Island,Delaware,Connecticut,New Jersey,USA,Geography;,Easy
273,Which river forms part of the border between Texas and Mexico?,Rio Grande,Colorado River,Pecos River,Arkansas River,USA,Geography;,Hard
274,What is the name of the major fault line in California known for earthquakes?,San Andreas Fault,Cascadia Subduction Zone,Hayward Fault,Newport-Inglewood Fault,USA,Geography;,Medium
275,"Which state is home to the largest volcano in the U.S., Mauna Loa?",Hawaii,Washington,Oregon,California,USA,Geography;,Hard
276,What is the capital of Texas?,Austin,Dallas,Houston,San Antonio,USA,Geography;,Medium
277,Which U.S. state has the highest average elevation?,Colorado,Utah,Nevada,Wyoming,USA,Geography;,Hard
278,"Which river is known as the ""Mighty Mississippi""?",Mississippi River,Missouri River,Ohio River,Tennessee River,USA,Geography;,Medium
279,Which U.S. state is known for its potatoes?,Idaho,Iowa,Nebraska,Montana,USA,Geography;,Easy
280,"Who is known as the ""King of Pop""?",Michael Jackson,Elvis Presley,Prince,Justin Timberlake,USA,Music;,Easy
281,"Which artist released the album ""Lemonade"" in 2016?",Beyoncé,Rihanna,Taylor Swift,Lady Gaga,USA,Music;,Medium
282,What was the first music video played on MTV?,"""Video Killed the Radio Star"" by The Buggles","""Thriller"" by Michael Jackson","""Like a Virgin"" by Madonna","""Billie Jean"" by Michael Jackson",USA,Music;,Hard
283,"Who is the lead singer of the band ""Nirvana""?",Kurt Cobain,Eddie Vedder,Chris Cornell,Dave Grohl,USA,Music;,Medium
284,"Which artist is known for the hit song ""Born in the USA""?",Bruce Springsteen,Billy Joel,John Mellencamp,Bob Dylan,USA,Music;,Easy
285,Who was the first female artist to be inducted into the Rock and Roll Hall of Fame?,Aretha Franklin,Janis Joplin,Tina Turner,Joan Baez,USA,Music;,Hard
286,Which American artist won the Nobel Prize in Literature in 2016?,Bob Dylan,Leonard Cohen,Paul Simon,Bruce Springsteen,USA,Music;,Medium
287,What is the best-selling album of all time in the USA?,"""Thriller"" by Michael Jackson","""Back in Black"" by AC/DC","""The Dark Side of the Moon"" by Pink Floyd","""The Wall"" by Pink Floyd",USA,Music;,Medium
288,Who was the original drummer for The Beatles before Ringo Starr?,Pete Best,Stuart Sutcliffe,Richard Starkey,Brian Epstein,USA,Music;,Hard
289,"Which artist is known for the song ""Purple Rain""?",Prince,David Bowie,Freddie Mercury,Elton John,USA,Music;,Easy
290,Who is the youngest artist to win the Grammy for Album of the Year?,Billie Eilish,Taylor Swift,Adele,Lorde,USA,Music;,Hard
291,"Which song by The Eagles is famous for the line ""You can check out anytime you like, but you can never leave""?","""Hotel California""","""Desperado""","""Take It Easy""","""Life in the Fast Lane""",USA,Music;,Medium
292,"What band was originally named ""The New Yardbirds""?",Led Zeppelin,The Who,The Rolling Stones,Cream,USA,Music;,Hard
293,Who is the best-selling female artist of all time in the USA?,Madonna,Whitney Houston,Mariah Carey,Celine Dion,USA,Music;,Medium
294,"Which artist had a hit with the song ""Shake It Off""?",Taylor Swift,Katy Perry,Ariana Grande,Selena Gomez,USA,Music;,Easy
295,What was the first rap song to reach number one on the Billboard Hot 100?,"""Ice Ice Baby"" by Vanilla Ice","""Fight the Power"" by Public Enemy","""U Can't Touch This"" by MC Hammer","""Rapper's Delight"" by Sugarhill Gang",USA,Music;,Hard
296,"Which artist is known as the ""Queen of Soul""?",Aretha Franklin,Whitney Houston,Diana Ross,Tina Turner,USA,Music;,Medium
297,What was the first opera performed in the United States?,"""La Serva Padrona""","""Madama Butterfly""","""The Barber of Seville""","""Don Giovanni""",USA,Music;,Hard
298,"Who performed the famous guitar solo in ""Stairway to Heaven""?",Jimmy Page,Eric Clapton,Jimi Hendrix,Keith Richards,USA,Music;,Easy
299,"Which American singer-songwriter is known for the song ""Fire and Rain""?",James Taylor,John Denver,Paul Simon,Carole King,USA,Music;,Medium
300,Who is the all-time leading scorer in NBA history (as of 2024)?,LeBron James,Kareem Abdul-Jabbar,Michael Jordan,Kobe Bryant,USA,Sports;,Easy
301,Which NFL team has won the most Super Bowls?,Pittsburgh Steelers,New England Patriots,Dallas Cowboys,San Francisco 49ers,USA,Sports;,Medium
302,Who was the first African American to win the U.S. Open in tennis?,Arthur Ashe,Althea Gibson,Serena Williams,Venus Williams,USA,Sports;,Hard
303,What is the maximum score possible in a single frame of ten-pin bowling?,30,20,40,50,USA,Sports;,Medium
304,"Which baseball player is known as the ""Sultan of Swat""?",Babe Ruth,Hank Aaron,Lou Gehrig,Mickey Mantle,USA,Sports;,Easy
305,Who was the first woman to run the Boston Marathon officially?,Kathrine Switzer,Billie Jean King,Florence Griffith Joyner,Wilma Rudolph,USA,Sports;,Hard
306,What year did the USA host the Summer Olympics in Atlanta?,1996,1984,1976,2000,USA,Sports;,Medium
307,Who holds the record for the most home runs in a single MLB season?,Barry Bonds,Mark McGwire,Babe Ruth,Sammy Sosa,USA,Sports;,Medium
308,What team won the first Super Bowl?,Green Bay Packers,Kansas City Chiefs,New York Giants,Chicago Bears,USA,Sports;,Easy
309,Who was the first U.S. athlete to win gold medals in both Summer and Winter Olympics?,Eddie Eagan,Bonnie Blair,Shaun White,Apolo Ohno,USA,Sports;,Hard
310,"Which golf tournament is known as ""The Masters""?",Augusta National,U.S. Open,PGA Championship,The Open Championship,USA,Sports;,Medium
311,Who was the first woman inducted into the Basketball Hall of Fame?,Lusia Harris,Cheryl Miller,Ann Meyers,Nancy Lieberman,USA,Sports;,Hard
312,What city is home to the oldest continuously operating sports franchise in the U.S.?,Cincinnati,New York,Boston,Chicago,USA,Sports;,Medium
313,"Who won the ""Battle of the Sexes"" tennis match in 1973?",Billie Jean King,Bobby Riggs,Chris Evert,Martina Navratilova,USA,Sports;,Easy
314,Which American swimmer holds the record for the most Olympic gold medals?,Michael Phelps,Mark Spitz,Ryan Lochte,Katie Ledecky,USA,Sports;,Hard
315,What is the name of the annual championship game of college football?,College Football Playoff National Championship,Rose Bowl,Sugar Bowl,Fiesta Bowl,USA,Sports;,Medium
316,Who is the youngest player ever to be drafted into the NBA?,Andrew Bynum,Kobe Bryant,LeBron James,Kevin Garnett,USA,Sports;,Hard
317,"Which American boxer was known as ""The Greatest""?",Muhammad Ali,Mike Tyson,Joe Frazier,George Foreman,USA,Sports;,Medium
318,"Who is known as ""The Great One"" in hockey?",Wayne Gretzky,Bobby Orr,Gordie Howe,Mario Lemieux,USA,Sports;,Easy
319,Which American track and field athlete won four gold medals in the 1936 Berlin Olympics?,Jesse Owens,Carl Lewis,Jim Thorpe,Wilma Rudolph,USA,Sports;,Hard
320,Which company is the largest retailer in the United States?,Walmart,Amazon,Costco,Target,USA,Industries;,Medium
321,What is the primary industry of the company Berkshire Hathaway?,Conglomerate,Financial Services,Real Estate,Technology,USA,Industries;,Hard
322,Who is the founder of Amazon?,Jeff Bezos,Bill Gates,Elon Musk,Mark Zuckerberg,USA,Industries;,Medium
323,What is the main product of The Coca-Cola Company?,Soft Drinks,Bottled Water,Juices,Snacks,USA,Industries;,Easy
324,Which American company is the leading producer of semiconductors?,Intel,AMD,Qualcomm,Texas Instruments,USA,Industries;,Hard
325,"Who is the CEO of Tesla, Inc. as of 2024?",Elon Musk,Tim Cook,Sundar Pichai,Jeff Bezos,USA,Industries;,Medium
326,Which company is known for its iPhone and Mac computers?,Apple,Microsoft,Google,Samsung,USA,Industries;,Medium
327,What is the main business of the company Johnson & Johnson?,Pharmaceuticals and Consumer Health,Aerospace,Automobiles,Financial Services,USA,Industries;,Hard
328,Which company is the largest aerospace manufacturer in the USA?,Boeing,Lockheed Martin,Northrop Grumman,Raytheon,USA,Industries;,Medium
329,Who founded the electric car company Tesla?,Elon Musk,Steve Jobs,Henry Ford,Larry Page,USA,Industries;,Easy
330,Which American company is the largest producer of renewable energy?,NextEra Energy,Duke Energy,Dominion Energy,Exelon,USA,Industries;,Hard
331,What industry is General Electric primarily involved in?,Energy and Appliances,Automotive,Technology,Retail,USA,Industries;,Medium
332,Which company is the largest manufacturer of microchips in the USA?,Intel,NVIDIA,Broadcom,AMD,USA,Industries;,Hard
333,What is the primary product of the company ExxonMobil?,Oil and Gas,Chemicals,Pharmaceuticals,Electronics,USA,Industries;,Medium
334,Who is the founder of the media company Bloomberg L.P.?,Michael Bloomberg,Rupert Murdoch,Ted Turner,Walt Disney,USA,Industries;,Hard
335,Which American company is the largest coffeehouse chain in the world?,Starbucks,Dunkin',McCafe,Coffee Bean & Tea Leaf,USA,Industries;,Medium
336,What is the main industry of the company Caterpillar Inc.?,Construction Equipment,Aerospace,Food and Beverages,Pharmaceuticals,USA,Industries;,Hard
337,Who is the founder of Microsoft?,Bill Gates,Steve Jobs,Larry Ellison,Sergey Brin,USA,Industries;,Easy
338,Which company is known for its fast-food chain specializing in burgers?,McDonald's,KFC,Taco Bell,Domino's,USA,Industries;,Medium
339,What is the main industry of the company Salesforce?,Cloud-based Software,Automotive,Consumer Electronics,Pharmaceuticals,USA,Industries;,Hard
340,Who was the first President of the United States?,George Washington,Thomas Jefferson,John Adams,James Madison,USA,FamousPersonalities;History;,Easy
341,"Who wrote the famous speech ""I Have a Dream""?",Martin Luther King Jr.,Malcolm X,Rosa Parks,Thurgood Marshall,USA,FamousPersonalities;History;,Medium
342,Who was the first woman to fly solo across the Atlantic Ocean?,Amelia Earhart,Sally Ride,Bessie Coleman,Jacqueline Cochran,USA,FamousPersonalities;History;,Hard
343,Who is the founder of SpaceX?,Elon Musk,Jeff Bezos,Richard Branson,Bill Gates,USA,FamousPersonalities;History;,Medium
344,"Who is known as the ""Father of the Constitution""?",James Madison,George Washington,Thomas Jefferson,John Jay,USA,FamousPersonalities;History;,Easy
345,"Which American author wrote ""The Catcher in the Rye""?",J.D. Salinger,Ernest Hemingway,F. Scott Fitzgerald,Mark Twain,USA,FamousPersonalities;History;,Hard
346,Who was the first African American President of the United States?,Barack Obama,Jesse Jackson,Martin Luther King Jr.,Al Sharpton,USA,FamousPersonalities;History;,Medium
347,Who is the co-founder of Microsoft?,Bill Gates,Steve Jobs,Larry Ellison,Mark Zuckerberg,USA,FamousPersonalities;History;,Easy
348,Which American industrialist is known for revolutionizing the automobile industry with the assembly line?,Henry Ford,Thomas Edison,John D. Rockefeller,Andrew Carnegie,USA,FamousPersonalities;History;,Medium
349,Who was the first woman to serve on the U.S. Supreme Court?,Sandra Day O'Connor,Ruth Bader Ginsburg,Sonia Sotomayor,Elena Kagan,USA,FamousPersonalities;History;,Hard
350,Who is the CEO of Berkshire Hathaway?,Warren Buffett,Jeff Bezos,Bill Gates,Elon Musk,USA,FamousPersonalities;History;,Medium
351,"Who is known as the ""King of Rock and Roll""?",Elvis Presley,Michael Jackson,Buddy Holly,Chuck Berry,USA,FamousPersonalities;History;,Easy
352,Who was the first African American woman to win the Nobel Prize for Literature?,Toni Morrison,Maya Angelou,Alice Walker,Zora Neale Hurston,USA,FamousPersonalities;History;,Hard
353,Who is the founder of the Virgin Group?,Richard Branson,Jeff Bezos,Mark Cuban,Larry Page,USA,FamousPersonalities;History;,Medium
354,Who was the primary author of the Declaration of Independence?,Thomas Jefferson,George Washington,Benjamin Franklin,John Adams,USA,FamousPersonalities;History;,Easy
355,Which American scientist is known for developing the polio vaccine?,Jonas Salk,Albert Sabin,Louis Pasteur,Robert Koch,USA,FamousPersonalities;History;,Hard
356,Who was the first African American Secretary of State?,Colin Powell,Condoleezza Rice,Thurgood Marshall,John Lewis,USA,FamousPersonalities;History;,Medium
357,Who was the first female African American astronaut to go into space?,Mae Jemison,Sally Ride,Bessie Coleman,Ellen Ochoa,USA,FamousPersonalities;History;,Hard
358,"Who is known as the ""Father of the American Revolution""?",Samuel Adams,Thomas Paine,Paul Revere,Patrick Henry,USA,FamousPersonalities;History;,Medium
359,Who is the current CEO of Apple (as of 2024)?,Tim Cook,Steve Jobs,Jeff Bezos,Sundar Pichai,USA,FamousPersonalities;History;,Easy